When-Taking-Survey,First-Time,Status,Status-Other,Department,Research,Field,OS,With-Friend,Programming-Usage,Current-Tools,Have-Dataset,Data-Management-Strategy,Data-Analysis-Workflow,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Hope-to-Learn,Workshop-in-US
1,1,0,Research Associate,Environmental Sciences + Social-Ecology, Environmental Sciences ,The use of local ecological knowledge in coastal/fisheries management...,3,3,3," 2  5     SPSS, Minitab, Anthropac/UCINET",3,2,3,5,4,4,3,Gain sufficient familiarity to practice data carpentry on my own research work,1
1,1,2,,Marine Affairs,5 ,Seaport climate change vulnerability,3,3,5, 2  5      ,3,3,3,4,5,,2,"Refine data sci workflow, learn some sql",1
1,1,0,Graduate student and staff,"Biotechnology, bioinnformatics ",9 ,The use of immuno-informatics to develop vaccines.,3,2,2, 2         ,4,4,4,4,3,4,4,I would like to learn some basics to build upon in the future.,1
1,1,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Statistics,14 ,spatial temporal models of ozone concentration,3,1,5, 2  5      ,2,2,3,4,4,4,3,,1
1,1,4,,Accounting, Healthcare finances and public policy,"examining 3 issues; the viability of health insurance exchanges, hospital mergers and acquisitions and finances, value-based purchasing and hospital finances",3,3,2, 2        SPSS,2,2,2,4,3,3,3,different ways to easily manage larger data sets; to manage and analyze the data,1
1,1,2,,oce,10 ,"ecology, carbon cycle",1,3,6,      7    ,,,,,,,,,1
1,2,6,,Natural Resources Science,5 ,"Modeling watershed nitrogen dynamics, focusing on landscape sinks. Also exploring 25 years of volunteer monitoring data collected in local ponds and lakes. Looking at historical shifts in river flow to Narragansett Bay and the relationship between freshwater flow and bay hypoxia.",1,1,5, 2  5      ,1,3,3,5,5,5,5,A more complete set of skills. Right now I've learned in small chunks and feel like I'm missing basics in some areas.,1
1,1,4,,GSLIS, Library and Information Science,My main area of focus is wayfinding in library facilities.  I am working on developing a theory of public library user wayfinding behavior based on Passini's Conceptual Framework of Wayfinding (from architecture).  I am also working on developing a formula for libraries to determine the appropriate amount of signage based on various contextual factors.,1,2,1, 2        SPSS (strange this not on your list btw),2,4,4,5,3,3,3,"Options for data management and analysis so I am not so dependent on SPSS, which is unwieldy and I have to run on my office computer in the Windows side of the OS.",1
1,1,4,,Ocean Engineering, Ocean Engineering,Underwater Acoustics,1,2,6,      7    ,1,4,4,1,1,1,1,To start using R and Python in addition to Matlab (which  I use extensively),1
1,,,,,  ,,,,,           ,,,,,,,,,
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Oceanography - Marine Geology and Geophysics,5 ,"For my Master's thesis, I am going to do a statistical analysis on a beach volume time-series dataset. I would like to see if there is a response in beach volume to local climatic drivers/cycles.  ",1,2,3, 2  5 7    ,2,3,3,5,5,5,4,"I would like to practice with the basic coding language more (calling data, making basic charts, etc) to improve my proficiency in the language of R.  I would also like to learn about statistical capabilities/packages. ",1
1,1,2,,Computer Science,4 ,,1,2,4, 2 45      ,4,3,3,5,4,4,4,,1
1,1,6,,Fisheries biology,10 ,Fisheries management,3,1,1, 2         ,4,3,3,4,5,4,3,I would like an introduction to data analysis,1
1,1,2,,,5 ,Water Resources and Water Quality,3,1,1, 23        ,2,2,2,5,5,5,5,I would hope to learn the basics of programing using R,1
1,1,3,,Immunology and Informatics,9 ,"Investigation of the T cell receptor repertoire. Sequencing of the T cell receptor with next generation sequencing technology, which results in data sets with 15 million entries per run.",1,2,6,    5   9  ,1,3,3,4,5,5,3,"Making my written R code simpler to read and to get input how to handle data in a (probably) better way (e.g. at what point is it better to use a data table over a data frame etc.)  I have collected some questions during my coding with R, which I would like to discuss.",1
1,1,1,,,9 ,,3,1,6,    5      ,1,4,4,,,,,,1
1,1,2,,"Electrical, computer and Biomedical Engineering",4 ,We are developing functional Near Infrared Spectroscopic brain imaging system for BCI. ,1,2,2,      7    ,2,2,2,4,4,4,4,I expect to learn how to effectively manage database and process.,1
1,1,6,,Natural Resources Science,10 ,Currently studying home range of bobcats in Rhode Island.  We are interested in their movement patterns across the landscape,1,3,1, 2         ,3,3,2,4,4,4,4,I hope to learn the basics of using R so that I can use several existing packages for analyzing my data.  I would like to learn how to properly organize my data to streamline analysis,1
1,1,2,,Oceanography,10 ,I study marine plankton food web dynamics. ,1,3,4, 2  5      ,2,3,3,5,5,5,4,Become more efficient at organizing data and more proficient at using R,1
1,1,6,,Natural Resources,10 ,"Monitoring or coastal environments at eight National Park Units in support of natural resource protection and management.  Currently working salt marsh sediment elevation change, shoreline erosion monitoring.",3,3,5, 23        ,2,3,3,5,4,4,4,"Familiarity with setting up datasets in preparation for analysis with R, using R for some basic analysis procedures.",1
1,1,2,,Biology,9 ,I am investigating genome evolution in organisms that have recently given up photosynthesis in favor of adopting a parasitic life strategy ,1,2,3,        9 Field specific GUIs including CLC Genomics workbench and Geneious,1,4,4,4,4,4,2,,1
1,1,4,,Biological Sciences, Education,The SEAS program (http://seasprogram.net) studies the social context of learning as it pertains to STEM education.,3,3,1, 2         ,2,2,2,5,4,4,5,More efficient data management and analysis techniques,1
1,1,2,,Microbiology & Immunology,11 ,Pre-Transformation molecular modeling of protein products of modified genes of interest to study virulence factors which pathogenesis ,3,2,5, 2  567 9  ,2,2,3,5,4,4,4,SQL database initiation,1
1,1,4,,Biology, Biology education ,Currently unknown. But I would like to engage in the scholarship of teaching and learning research in my large introductory biology courses. ,3,3,1, 2         ,4,0,0,4,3,3,3,Basic statistical tools for research ,1
1,1,2,,Computer Science & Statistics,14 ,Exploring student motivation and outcomes in undergraduate statistics courses.,3,1,5, 2  5     SAS,2,3,3,5,5,5,5,I hope to better my understanding and usage of R and SQL for my classes and research.,1
1,1,2,,Communication,8 ,Current field of study is nonverbal behavior and it's affect on multicultural student learning?,3,2,1,          None,4,0,0,5,3,3,3,I hope to learn more about data analysis.,1
1,2,2,,Chemical Engineering,7 ,Molecular modelling of anti-microbial peptide in its interaction with the membrane of bacteria. ,2,1,6,"      7   C++, fortran",1,,,4,3,3,3,,1
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Botany,10 ,I study the causes and consequences of long term change in forest plant communities. I combine historic and modern data sets to do so. ,1,1,5, 2  5      ,1,3,3,5,5,5,5,"I'm hoping to improve my workflow, the reproducibility of my research, and my coding capabilities. ",1
1,1,6,,Soil Science,10 ,,1,2,7, 2         ,4,3,3,5,3,3,3,I hope to learn how to incorporate a scripting language into my future data analyses.,1
1,1,2,,Biophysics,9 ,I study bacterial genes that contribute to stiffness of bacteria and provide mechanical integrity.,1,1,2, 2         ,2,2,3,5,5,5,5,,1
1,1,2,,Horticulture, Plant science,"Viticulture, analyzing the effect training systems have on fruit quality.",1,1,3, 2         ,1,3,2,4,4,4,3,Everything.,1
1,1,2,,Biochemistry,9 ,RNA is formed from a DNA template in a process called transcription. I use single-molecule fluorescence in situ hybridization (smFISH) to visualize actively transcribing sites in the C. elegans germline tissue. Quantification of fluorescent puncta in smFISH images allows me to ask questions about how perturbations of the system affect transcription of genes of interest. ,3,2,3, 2    7    ,2,1,1,4,4,5,4,I'd like to be equipped with some skills to plan and execute an efficient and organized data analysis workflow,1
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,4,,Marine Mammal Institute,14 ,Analyzing movements of large whales,3,1,5, 2         ,1,4,2,5,4,4,2,Become more proficient in data access/storage in R.,1
1,,,,,  ,,,,,           ,,,,,,,,,
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Chemical Engineering,7 ,Molecular Modeling of Polymer Systems,3,1,6, 2    7 9  ,2,4,4,4,4,4,4,R and SQL,1
1,1,2,,Oncology,9 ,"We are working on understanding the physiological role of the aryl hydrocarbon receptor, an environmentally responsive nuclear receptor. The ahr is involved in development, but we are not sure where activation occurs and what downstream genes are important for normal vascular development. ",1,1,1, 2         ,1,2,2,5,3,3,4,A general scheme for analyzing data and becoming more familiar with data analysis tools that are out there.,1
1,1,6,,Center for Healthy Minds lab at Waisman, Psychology,"Currently a research specialist on a multiyear project studying the effects of a mindfulness intervention on public school teachers and students.  In the future, I plan to attend graduate school in psychology.  ",3,1,2, 2         ,4,0,0,4,3,3,3,I hope to gain a greater understanding of R and general data analysis. ,1
1,1,2,,Geosciences,10 ,"I'm researching the different environmental, social and economic benefits that forests provide. I've just completed a social science survey of forest users and have quantitative and qualitative data to analyse. ",1,2,3, 2        GIS,2,2,2,5,5,5,4,I want to develop the skills to import my data (currently in json and geojson) into a db ,2
1,1,0,Recent postgraduate/staff,Celtic and Scottish Studies,8 ,I work on concepts of scholarly authority in medieval Gaelic learned culture and am currently researching terminology connected to textual composition. I am also involved in a project digitising medieval genealogical collections.,3,2,7, 2      9 RDF,3,2,2,4,4,4,3,"I am looking to learn about different techniques and strategies in order to plan my research project, but am also interested in picking up new skills, even if I don't end up applying them on the project itself. ",2
1,1,3,,Mathematics, Mathematics,"Based on drifter trajectories from a complex dynamical system (e.g. the ocean), I want to detect coherent, large-scale patterns of motion.",1,2,6,     67    ,1,3,3,4,5,5,3,"I want to expand my toolset. I've always used matlab and a little bit of python, but matlab is really only good if your data comes as a matrix. I hope that the workshop will teach me some complementary skills.",2
1,1,2,,Geosciences,6 ,Modelling the feasibility of rates of transition to renewable energy technologies in the power sector.,3,3,3, 2         ,4,2,2,5,5,4,3,I wish to learn general data analysis skills with R to apply to future projects in which I must handle large quantities of data,2
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,6,,Waisman Center,2 ,I study the hearing abilities of people who use cochlear implants.,3,2,6,      7    ,1,3,3,4,5,3,4,Good practices for data handling and management. Hopefully increase familiarity with R.,1
1,1,3,,Institute for Astronomy, Astronomy,Studying how distant galaxies evolve with time.,1,3,6,"        9 IDL, python sometimes",1,2,3,5,5,5,5,"I would like to gain skills in SQL and R, particularly as the are also very applicable to industry data analysis jobs.",2
1,1,2,,GeoSciences,5 ,Modelling land use GHG emissions,3,3,2, 2  5      ,2,2,2,5,5,5,4,How to manage data efficiently,2
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,6,,Research Data Service, Research Data Management,Providing research data management support to university staff and students.,3,1,3, 2 4       ,2,5,3,4,4,4,4,How to work with and analyse data with Python.,2
2,1,2,,SoMAS,10 ,Fisheries population dynamics,3,2,5,    5 7    ,4,3,3,4,4,4,4,,1
2,1,6,,Advancement Services,16 ,,3,1,6, 2 4       ,1,3,4,5,4,4,4,An introduction to R and a new way to analyze data,1
2,1,2,,Medicine,9 ,,1,1,4, 2  5      ,3,2,2,3,3,3,3,,1
2,1,3,,Biochem,9 ,,1,2,3, 2   67 910 ,2,3,3,3,3,3,3,,1
2,1,6,,Advancement,16 ,Senior Data Manager/analyst,3,1,3, 234       ,3,3,3,5,5,4,5,data analysis strategies,1
1,1,6,,Ecology and Evolution,9 ,Single cell heterogeneity. Dynamics and consequences of expression variation. Transferring techniques for cell and gene manipulation from model organisms to non-model organisms.  ,1,2,6," 2 45     SFTP (FileZilla), SSH",1,4,4,5,5,5,5,More efficient ways to code. Make my code run faster.,1
2,1,6,,Medicine,11 ,"GI research group, clinical trials",1,2,1, 23        ,3,3,2,5,3,3,3,How to manage the big data set,1
2,1,2,,Energy Engineering,7 ,Analysis commercial building energy use to determine the building energy pattern and provide solutions on efficiency and economical purpose.,1,1,4, 2 4567    ,2,3,2,1,1,1,1,Data scrubbing and plotting by R,1
2,1,2,,Evolution and Ecology ,9 ,My thesis is on the evolution of skin color. ,1,3,6, 2  5   9  ,1,2,2,5,5,4,3,I'd like to be able to manage my data better. Im slow to manipulate it,1
2,1,6,,Advancement,1 ,I am a data analyst. I work with giving data.,3,1,5, 2 4      tableau,4,3,3,3,3,3,3,More R!,1
2,2,2,,Marine Science, Marine biology,Marine phytoplankton ecology and physiology,3,1,6, 2  56     ,1,4,4,5,5,5,4,,1
2,1,2,,Materials Science and Engineering,7 ,Molecular Dynamics Simulation of Nanocrystalline Metals and Alloys.,1,1,6,          C,1,1,1,1,1,1,1,,1
2,1,2,,Ecology & Evolution,9 ,"I am working on primate genome data of SCN1A gene, an epilepsy gene in human, I want to explore the molecular  evolution of SCN1A  I am also working on quality control of PacBio sequencing to find the accurate olfactory receptor gene family ",1,2,6,    56  9  ,1,3,3,5,5,5,5,"I want to learn how to use SQL, and improve my R skill",1
2,1,2,,Biochemistry and Cell Biology,9 ,"Developmental Biology, Stem cell study using zebrafish",1,2,1, 2         ,1,2,2,4,3,3,3,"More about excel and other programs, which will facilitate my data analysis",1
1,2,2,,Marine/ Atmospheric science,9 ,Freshwater cyanobacteria response to abiotic factors ,3,1,3, 2  5      ,1,4,4,5,5,5,3,How to more efficiently manage large data sets,1
1,1,2,,,9 ,I use bioinformatics tools to research evolutionary genomics questions.,2,3,5, 2  5      ,1,3,3,4,5,5,5,Better data manipulation skills,1
1,1,4,,Informatics,4 ,"I am a Professor of Machine Learning, interested in supervised and unsupervised learning (these are technical terms), both in theory,  models and applications.    But the data preparation phase is v important in all tasks, and I hope to learn more about tools for this.",1,2,4,      7 9  ,2,3,4,4,5,5,4,I am looking forward most to learning about OpenRefine. I am actually interested in research about helping automate the data analytics process.,2
1,1,2,,Geoscience,10 ,"Investigating the fire dynamics on the above ground carbon storage in the savanna, using a combination of field experiments, remote sensing and modelling.",3,3,2, 2         ,3,2,3,5,5,5,3,,2
1,1,3,,,11 ,Genomiics,2,1,6,         10 ,4,1,1,5,5,5,5,,1
1,1,2,,Institute of Genetics and Molecular Medicine, statistical genetics,"I am studying the genetics of cognitive decrements in depressed patients using statistics, computer science and machine learning",3,2,6,    5      ,1,3,3,4,5,5,5,,2
1,1,4,,College of Medicine and Veterinary Medicine,9 ,I'm a Computational Biologist specialised in microvascular Biomechanics and Mechanobiology. My research interests concern the study of vascular remodelling during angiogenesis and in diabetic retinopathy.,1,2,5, 2   67    ,4,2,2,5,5,5,5,Learn about standardised/reproducible ways of managing and analysing big datasets.,2
1,1,2,,School of GeoSciences,5 ,"Processing ESA Cryosat satellite mission data to compute elevation changes over ice caps and glaciers. Testing and using a newly developed algorithm to improve the resolution of elevation changes over ice using the same satellite data set. Tools used: currently learning Matlab, previous experience mainly Excel.",2,3,5, 2    7    ,2,2,2,5,5,5,3,"I am hoping to gain expertise on how to use tools such as Matlab, Python or R to improve the efficiency of current workflow and make data management and analysis more effective.",2
1,1,2,,Finance ,1 ,,3,2,6, 2  5      ,1,2,2,1,5,5,3,Improve my r skills. Work more efficiently with r. Learn ways to better manage my data and clean my data. Learn new software that I could use in my research. ,2
1,1,2,,Medicine and Veterinary Medicine - School of Population and Health Sciences,9 ,I am analysing gene expression data from colorectal cancer patients trying to correlate abnormal expression with genetic signatures which could be used to screen for healthy patients who are at risk of developing colorectal cancer.,2,3,6,    5      ,1,1,1,5,5,5,5,"I came into genetics from Laboratory work with zero prior knowledge of computing and I have never been formally taught it. I would love to develop good practises for organisation of my code, versions of my code, and make my code simpler to change if I only want to change a couple of parameters.  I would also like to learn how to knit together workflows in more efficient pipelines, by connecting bash and R scripts together in the command line.  Another priority for me is to improve my skills in data visualisation, particularly with ggplot2.",2
1,1,6,,Research Services, Computing Research Support Officer,IT support,3,2,3, 2 4    9  ,4,3,3,5,5,4,2,,2
1,1,3,,GeoSciences,13 ,I investigate environmental influences on population health.,3,2,3, 2        Stata,1,1,1,5,5,5,5,improve my skills,2
1,1,4,,English Literature,8 ,"Digital literary mapping, textual analysis, text mining and literary criticism.",1,2,2,          None,4,2,3,4,4,3,3,A broader understanding of how to work with data.,2
1,1,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Geosciences- sedimentology,5 ,I'm researching how alluvial fans record climate change signals in their stratigraphy and what role chaotic processes have on blurring this record.,3,3,3, 2    7    ,2,3,3,5,4,3,3,Data analysis techniques  Introduction to R and or Python,2
1,2,6,,Information Services,16 ,"Research data support, data publishing, data preservation, data analysis",3,1,3," 23     9 SPSS, SDA",4,4,2,5,4,3,3,Add to existing data analysis and management skillset,2
1,1,2,,Accounting, Accounting,"My project is about principles of financial accounting, which I aim to conceptualise not through the framework of economics, but rather through the framework of semiotics. I investigate the accounting system as a semiotic system, and the accounting value as a semiotic value  ",3,2,1,          None,4,0,0,4,4,3,3,initial introduction to these tools in order to be able to engage with data and data analysts,2
1,1,3,,Geosciences,10 ,Evolution of sensory systems,2,3,3, 2  5   9  ,2,2,2,5,5,4,3,Best practice in data management and analysis,2
1,1,2,,,3 ,,,,1,           ,,,,,,,,,1
1,1,2,,Kinesiology,9 ,"Mechanisms behind vasodilation in muscle blood flow and brain blood flow. Additionally, the effect of disease states and environmental stressors on brain blood flow and muscle blood flow. ",3,3,2, 2    7    ,1,0,0,5,3,3,3,How to organize and manage data as well as new programs I can use for these tasks and for analysis. ,1
1,1,5,,Office of the Health Insurance Commissioner,13 ,Analysis of health care claims data for use in public policy decision making.,3,1,6, 2  5     Microstrategy BI,1,4,4,5,5,5,5,"Additional data wrangling skills, shortcuts in R",1
2,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Sociology,14 ,,3,2,3,          Stata,4,3,3,4,4,3,3,How to uses additional scripting language and introduction to new programs,1
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Neuroscience,2 ,"I study the molecular underpinnings of anxiety and anxiety disorders.  Specifically, I am interested in gene expression changes in the orbitofrontal cortex, a region that has been implicated in the control of anxiety behaviors.",1,3,1, 2         ,3,1,1,5,5,5,4,,1
1,1,6,,Biochemistry,9 ,Genetics of diabetes,3,2,3, 2  5     Igor,1,2,2,4,5,5,4,Better analytical practices when analyzing my data.,1
1,1,2,,Statistics,14 ,,1,2,5, 2 456    SAS,1,3,3,4,5,5,4,The structure of how to clean up and analysis data. ,1
1,1,4,,Mathematics, Math,"I currently do research in numerical analysis (specifically related to the finite element method), but I teach statistics. I want to learn more about data analysis and potentially would like to do research in that field.",1,1,5,           ,4,1,1,4,4,3,3,I would like a better understanding of what data analysis entails and to get an introduction to this field.,1
1,1,2,,Materials Science and Engineering,7 ,,3,1,4, 2         ,3,2,2,4,5,5,5,,1
1,,,,,  ,,,,,           ,,,,,,,,,
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,3,,,  ,,,,,           ,,,,,,,,,1
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Wildlife Ecology,10 ,I am assessing the ability of standardized roadside surveys to estimate deer recruitment in Wisconsin. I am also using a large amount of camera data to estimate recruitment and predator populations.,3,2,2, 2         ,2,0,0,4,3,3,3,A successful strategy for managing the large amount of data that I will accumulate in order to effectively analyze it.,1
2,1,2,,Environmental engineering,5 ,I am investigating the effectiveness of groundwater management.,3,2,4, 2    7    ,2,3,4,3,3,3,3,,2
2,2,,,,  ,,,,,           ,,,,,,,,,
1,,,,,  ,,,,,           ,,,,,,,,,
2,1,2,,Earth Sciences,5 ,Calculation of fluxes of air sea gas exchanges,3,2,3,      7    ,4,0,0,4,4,4,4,,2
1,1,2,,School of Medicine Dentistry and Health Sciences,11 ,Accented speech for hearing impaired people,1,2,1, 2         ,4,0,0,5,3,3,3,,2
2,1,2,,energy economics,7 ,"Mecatronics, optimization,devopment and economics of Energy projects.",3,2,2, 2         ,4,3,4,5,5,5,4,shortening ata analysis time and being able to handle and import/export data wherever it's needed.,2
2,1,6,,Black AI,16 ,Artificial intelligence and computer vision,3,2,5, 2 4 67    ,2,3,3,4,5,5,4,More on python coding,2
2,1,6,,VCAMCM, Arts,"Interactive arts, HCI and the arts",1,2,1,          None,4,3,3,5,3,3,3,Developing an understanding of the possible uses of python in my research/creative practice,2
1,1,2,,Business and Economics,6 ,,1,3,4, 2 4 6  9  ,1,4,4,4,4,5,4,,2
2,2,3,,Biochemistry,9 ,Protein engineering. Protein evolution. Protein sequence space. Protein structure comparison.,3,1,2, 2  5      ,1,1,3,5,5,5,4,"Database management for protein sequence, structure and properties. I have a massive and horrible .csv file that I want to make a publicly accessible online database",2
1,1,2,,Veterinary Science, Epidemiology,Epidemiology of Salmonella in poultry,1,2,5, 23 5   9  ,1,3,3,4,4,3,3,Python - not currently using so would like to develop skills to enable use as it is currently limiting my analysis of massive text files,2
1,1,2,,Forestry and Wildlife Ecology,15 ,Hyperspectral remote sensing and agriculture,3,3,4, 2  5      ,2,3,2,4,5,5,3,I have rudimentary R skills right now and hope to have a better understanding of all the possibilities using R and python.,1
1,1,2,,Forest and Wildlife Ecology,10 ,I use fungal community analyses to assess affects of forest management practices.  ,1,2,4, 2  5      ,1,3,3,4,4,4,4,I hope to see what efficiency looks like.  ,1
1,1,,,,  ,,,,,           ,,,,,,,,,
1,1,5,,Groundwater and Spatial Analysis,5 ,I am a GIS Analyst and Hydrogeologist working for the Groundwater team at the Bureau of Meteorology. My work is focused on updating the National Atlas of Groundwater Dependent Ecosystems with a variety of new state datasets. This involves automating processes such as the standardisation and integration of large spatial datasets in geodatabases.,3,1,3, 2 4       ,3,4,4,5,5,5,3,I am hoping to improve my skills in Python scripting,2
1,1,0,"General Assembly graduate, but interested in data",,8 ,,1,2,3,   4    9  ,,3,2,5,5,5,3,,2
1,1,5,,Chemical Engineering, Urban data analysis,"Hydrologist in the urban water unit at the Bureau of Meteorology - analysis and interpretation of water data across Australia to produce National Performance Report, National Water Account and other water products at the BoM.",3,1,5, 2         ,4,0,2,4,5,5,5,"A start in using Python to improve my data analysis and visualisation, as well as a understanding of database management and SQL.",2
1,1,6,,Psychiatry, Psychology & psychiatry,The current study in our lab is investigating how stress hormones and early life experiences contribute to depression in women.,3,2,5, 2        SAS,4,4,4,5,5,5,5,The basics of using R.  Our lab is planning to switch from SAS to R.,1
1,1,6,,Instructional Design,  ,"Education. Specifically, how unstructured learning can be structured, and how learning can be represented external stakeholders. I'm looking to take my first steps into the realm of genuine research.",1,2,2, 2         ,4,3,3,,,,,Looking to get an introduction into how to structure data.,1
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,5,,Environmental and Research Division,5 ,I am working in the area of Groundwater Hydrology and Surface Water Hydrology. Currently I am preparing daily data for Seasonal Streamflow Forecasting.,1,1,6, 2 4       ,4,3,3,1,1,1,1,To use Python effectively to do data analysis and other related problems,2
1,1,2,,"Physics, Applied Mathematics",12 ,,1,2,6, 2   6     ,4,3,3,3,5,4,4,General workflows for managing and munging data.,2
1,1,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,, geomatics,spatial reasoning ,3,3,4, 2   6     ,3,2,2,2,5,5,3,,2
1,2,2,,Science,14 ,Developing a Spatio Temporal Model for GSA disease in the Northern Territory ,1,1,3, 2  5      ,4,0,0,5,5,5,3,To learn about Python,2
1,1,2,,MHDS, Neuropsychology,"Examining the neural correlates of self-awareness (or 'insight') of the cognitive, behavioural and emotional consequences of substance use in alcohol-dependent adults.",1,2,2, 2        SPSS,4,3,3,5,5,4,4,"Learning the Python language, becoming familiar with it for data analysis and programming computer-based psychological experiments in programs such as Presentation ",2
1,1,2,,,4 ,,1,3,4,   456     ,4,3,3,5,5,5,5,,2
1,1,2,,Biochemistry,11 ,Neurodegeneration transcriptomics Rna seq,1,1,3,    5      ,1,4,4,5,5,5,4,My analysis relevant basic scripting,2
1,,,,,  ,,,,,           ,,,,,,,,,
1,,,,,  ,,,,,           ,,,,,,,,,
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Commerce, Retail,I analyse Retail Sales and Shopping Behavior Data.,3,2,2, 2         ,4,2,2,5,5,5,5,"I want to improve general data storage,retrieval and analysis. Excel can't cope with our data sets any more.",2
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Statistics,14 ,,1,3,4,    5      ,4,2,2,1,1,3,3,data visualization,1
1,1,2,,Statistics,14 ,I have chosen specific focus in my field of study yet.,3,3,5, 2  5      ,2,0,0,1,1,1,1,data management and R package of ggplot2 and SQL,1
1,1,2,,Journalism & Mass Comm, Social Sciences,Social network theory currently and political communication. But I'm a former reporter working on a separate story and wanted an SQL refresher,1,3,5, 2 45      ,1,3,2,5,5,5,3,I only know how to use SQL through Access. I would like another way to use SQL on my Mac. I know R and use Studio but I haven't done SQL on it yet. I have MySQL and Progstre (I don't know exactly how it's spelled) installed but can't figure out how to use them.,1
1,1,2,,Agroecology,10 ,"I study rotationally grazing beef cattle on public grasslands in Wisconsin. I am working to characterize plant communities and monitor changes under grazing, while also developing a set of 'best practices' for public-private partnerships in conservation agriculture.",1,3,2,    5     SAS,2,3,2,5,5,4,3,,1
1,1,2,,Bacteriology,9 ,gut microbiota,1,3,1, 2         ,4,3,3,4,5,4,3,crash course intros to a few basic tools that I could use for the future,1
1,1,6,,, Social Sciences,Managing multi-disciplinary longitudinal research project on health and well-being.,3,3,3, 2        SPSS,1,4,4,5,4,4,5,Improve my programming and data management skills. Learn some new tricks.,1
1,1,4,,Biochemistry,9 ,Genetics of diabetes.,1,1,1, 2         ,1,1,1,5,5,5,5,how to use SQL and operate R and Python,1
1,1,2,,Biomedical engineering ,8 ,,1,2,5, 2  56     ,2,2,3,5,5,5,3,,1
1,1,6,,, psych,"I currently work at the center for healthy minds, coordinating projects that study the effects of mindfulness based practices in educational and familial settings. I hope to explore baseline data collected on a population of parents recruited through the head start early childhood program that enrolled to participate in a mindfulness based parenting class. I also have pre- and post-test data collected around the class. ",3,3,4, 2  5     SPSS,2,4,2,5,5,5,3,Gaining a better understanding of statistical analyses that can be done with R and how to write code for those analyses.,1
1,1,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Neuroscience Training Program,2 ,,3,3,1, 2        SigmaPlot,3,2,2,4,4,3,3,,1
1,1,2,,Zoology,10 ,"I study the chemical defenses of plants against herbivores. Specifically, I'm investigating the costs of chemical defense (in terms of reduced growth) in aspen trees.",1,3,5, 2  5      ,2,3,2,4,4,4,3,I hope to learn good habits and tricks that will make my research better and easier as I go through graduate school (and beyond). ,1
1,1,6,,Surgery,11 ,I work as a database developer with researchers. I'd like to learn more skills to process/use the data.,3,2,6, 234       ,4,3,3,5,5,5,5,,1
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,4,,, Agriculture; library,dfag,3,2,,           ,,,,,,,,,
2,1,5,,Research and Statistics ,16 ,"Installing, automating and maintaining software to be used at different divisions at the Federal Reserve Board.",3,1,5,   45   9  ,4,0,0,5,5,5,5,I would like to learn how and what tools the board employees use in their daily functions. ,1
1,1,0,Reseach Assistant,Research and Statistics,6 ,"I help gather, organize, clean, and analyze data.",2,1,6,    5   9  ,1,4,4,5,5,5,3,I hope to understand how to use SQL better.,1
1,1,6,,Research & Statistics ,6 ,Utilize surveys to understand the current state of household finances,4,1,6, 2        Stata,4,3,3,4,5,4,4,,1
1,1,6,,International Finance,6 ,Trade and quantitative section ,4,1,6,      7    ,2,2,2,4,3,3,3,I have little experience with programming and in my job I will be using it often.  I hope to get an introduction and better grasp on programming and using software in general.  ,1
1,1,6,,,6 ,Data analysis on trade and international markets,3,1,6, 2 456  9  ,1,3,4,5,5,5,4,"Further programming skills (I've had 2 years of programming experience), and ideally ways to automate repetitive tasks",1
1,1,2,,,16 ,IT Statistics function,,1,,          SAS,1,0,0,5,3,3,3,Understanding of R and Python intro.,1
1,1,0,Research Assistant,International Finance,6 ,"Oil, commodities, exports, imports",4,3,6, 2    7   FAME,4,4,4,5,5,5,4,,1
1,1,6,,Research ,6 ,,2,1,6, 2  5 7 9  ,1,4,4,4,4,4,4,,1
1,1,6,,research and statistics,6 ,Financial Analyst at FRB,3,3,6," 2  5   9 FAME, Perl",2,2,2,5,5,5,3,,1
1,1,2,,,4 ,,3,1,6, 2 4       ,2,3,3,5,5,5,5,,1
1,1,6,,International Finance,6 ,Financial markets,3,1,6, 2    7    ,4,2,2,4,4,5,4,,1
1,1,1,,Economics,6 ,,4,1,3, 2  5      ,4,3,3,5,5,3,3,,1
