When-Taking-Survey,First-Time,Status,Status-Other,Department,Discipline,Discipline-Other,OS,With-Friend,Programming-Usage,Column4,Current-Tools,Have-Dataset,Data-Management-Strategy,Data-Analysis-Workflow,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Hope-to-Learn,Workshop-in-US
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,"Biology, biodiversity, evolution","Life science (biology, genetics)",,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Not applicable,Not applicable,Agree,,,,,No
I am taking this survey before coming to the workshop,Yes,Undergraduate student,,Chemical engineering,"Engineering (civil, mechanical, chemical)",,Windows,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Neutral,Neutral,Neutral,analysis and reprisentation,No
I am taking this survey before coming to the workshop,Yes,Other (please specify),post graduate,psychology,Humanities,,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Satisfied,Satisfied,Agree,Agree,Neutral,Neutral,How to analyze and interprete data,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,Botany,"Life science (ecology, zoology, botany)",,Windows,Not sure,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Chemistry,Chemistry,,Apple OS,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Neutral,Agree,Agree,Neutral,Neutral,More efficient ways to analyse and organise my data. Perhaps make it less repetitive,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Informatics,Computer science and electrical engineering,,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Unsatisfied,Unsatisfied,Strongly agree,Agree,Agree,Agree,improve in programming and understand how data analysing work,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Micrbial Ecology,"Life science (ecology, zoology, botany)",,Apple OS,No,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL,R,Python","Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Neutral,Disagree,Neutral,,No
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,"Agriculture, Animal science","Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Satisfied,Neutral,Agree,Agree,Agree,Agree,How to analyse Data.  How to make statistical design,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Mathematics,Other (please specify),Applied Mathematics,Windows,No,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I do not have data yet.,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Familiarity with some new data analysing tools and maybe new insights into data analysis. ,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Evolutionary biology,"Life science (ecology, zoology, botany)",,Windows,Not sure,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, I have data but I haven't started analyzing it yet.",Satisfied,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Improvements to my current data management.   Improved management of data through SQL,No
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Quantum Chemistry,Chemistry,,Apple OS,Not sure,Not sure,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Very unsatisfied,Not sure,Strongly agree,Strongly agree,Strongly agree,Agree,To be satisfied with programming.,Yes
I am taking this survey before coming to the workshop,No,Graduate Student,,Biochemistry,"Life science (biology, genetics)",,Apple OS,No,Several times a year,,R,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I want to increase my efficiency and turn around time from data acquisition to final analysis.,No
I am taking this survey before coming to the workshop,Yes,Staff,,Plant Biology,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Satisfied,Satisfied,Agree,Agree,Agree,Agree,Learn these softwares,No
I am taking this survey before coming to the workshop,Yes,Staff,,Psychology,Brain and neurosciencse,,Apple OS,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,How to use R or other programs to automate simple data sorting,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,"Genetics and Genomics, Vet school","Life science (biology, genetics)",,Windows,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Data management,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Plant Biology,"Life science (ecology, zoology, botany)",,Apple OS,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Agree,Strongly agree,Strongly agree,Agree,I hope that through this workshop I am exposed to different approaches to managing large datasets and therefore better prepared in case I need to work with colleagues who utilise these other approaches. It will also allow me to explore and compare these other approaches with my current methods.,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Mathematics and Applied Mathematics,Other (please specify),Mathematical Modelling/Infectious Diseases,Windows,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, I have data but I haven't started analyzing it yet.",Not sure,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I am looking forward to cement further my personal experience with R programming and to introduce myself to Open Refine. ,No
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Computer Science,Computer science and electrical engineering,,Apple OS,No,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,Python","Yes, and I've already done a fair bit of analysis.",Unsatisfied,Neutral,Agree,Agree,Agree,Agree,"advance skills in analysing data with python, and learn a new method to manage and store my data ( currently I'm using csv files for data organisation and management).",No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Chemistry and Biochemistry,Chemistry,,Windows,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Neutral,Agree,Agree,Neutral,Neutral,"I want to get an introduction into python, and using python to deal with/analyse large data sets prior to completing my computational chemistry experiments (molecular dynamic simulations). ",No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Pathology and laboratory medicine ,"Life science (biology, genetics)",,Apple OS,No,Daily,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,School of Plant Biology,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Agree,Agree,Agree,Neutral,,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Marine Ecology,"Life science (ecology, zoology, botany)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not sure,Not sure,Agree,Neutral,Neutral,Neutral,How to manage my data more effectively ,No
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Industry,,Statistics,Statistics,,Apple OS,Yes,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL,R","Yes, and I've already done a fair bit of analysis.",Very satisfied,Very satisfied,Neutral,Agree,Agree,Agree,share open science culture into Korea. ,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology,"Life science (ecology, zoology, botany)",,Windows,Yes,Weekly,,R,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,More time efficient ways of analyzing and processing data,No
I am taking this survey before coming to the workshop,Yes,Undergraduate student,,Urban and Regional Planning,Other (please specify),Built Environment,Windows,Yes,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,How to utilize the right software to analyze data in a fast and effective way ,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Urban and Regional Planning,Other (please specify),Built Environment,Windows,Not sure,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Microbiology and molecular genetics,"Life science (biology, genetics)",,Apple OS,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,"improve my basic knowledge of SQL, ecc  ",No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,plant molecular biology,"Life science (biology, genetics)",,Windows,No,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Agree,Agree,,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Psychology,Other (please specify),Psychology,Apple OS,No,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,Python","Yes, and I've already done a fair bit of analysis.",Neutral,Satisfied,Strongly agree,Agree,Agree,Strongly disagree,"I want to become more efficient in data management/analysis pipeline. Also, it's a good opportunity to have to practise my Python skills.",No
I am taking this survey before coming to the workshop,Yes,Faculty,,Education,Other (please specify),psychometrics,Windows,No,Daily,,R,,Satisfied,Satisfied,Strongly agree,,Strongly agree,Agree,Introduction to using data bases (RDMS)  Introduction to Python as a general purpose complement to R.,No
I am taking this survey before coming to the workshop,Yes,Other (please specify),PhD student,Proteomics,Other (please specify),Biotech,Windows,Yes,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,Python","Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Agree,Becoming better than Tim,No
I am taking this survey before coming to the workshop,Yes,Staff,,Education,Humanities,,Windows,No,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL,Python","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Agree,Neutral,Neutral,Disagree,I do not have any expectations about the workshop.,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology,"Life science (ecology, zoology, botany)",,Windows,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I do not have data yet.,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Environmental Sciences,"Life science (ecology, zoology, botany)",,Windows,Yes,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Satisfied,Satisfied,Strongly disagree,Neutral,Neutral,Neutral,Ability to use the available tools for effective and reproducible data analysis,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Genetics,"Life science (biology, genetics)",,Apple OS,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Neutral,Disagree,Agree,Neutral,,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology,"Life science (biology, genetics)",,Apple OS,Not sure,Several times a year,,R,I do not have data yet.,Neutral,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Python,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Molecular Biology,"Life science (biology, genetics)",,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Agree,Agree,Agree,Agree,,No
I am taking this survey before coming to the workshop,No,Graduate Student,,Biology,"Life science (biology, genetics)",,Windows,Yes,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I hope to get more familiar with programming and have insights on how to apply tools like R and Phyton to my research. ,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Stem Cell Research,"Life science (biology, genetics)",,Apple OS,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Unsatisfied,Strongly agree,Agree,Strongly agree,Agree,be able to organize and analyse (big) data using scripting languages,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Environmental Science- Hydrology,"Earth sciences (geology, oceanography, meterorology)",,Windows,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I hope to learn a lot more on how to use Python and R because I work with large and long sets of data,No
I am taking this survey before coming to the workshop,No,Graduate Student,,Biology,Other (please specify),Ecology and Evolution,Apple OS,Yes,Less than once a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Not sure,Not sure,Strongly agree,Agree,Strongly agree,Neutral,I hope I improve my programming skills,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology,"Life science (ecology, zoology, botany)",,Windows,Yes,Not sure,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Unsatisfied,Unsatisfied,Strongly agree,Agree,Agree,Neutral,Anything and everything,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Mining and Environmental Geology,"Earth sciences (geology, oceanography, meterorology)",,Windows,Yes,Monthly,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Agree,Strongly agree,Neutral,I hope the workshop will be a platform for me to learn how to better manage and analyse data.,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Molecular Biology,"Life science (biology, genetics)",,Apple OS,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Unsatisfied,Unsatisfied,Agree,Strongly agree,Strongly agree,Strongly agree,what need to learn in order to become a data scientist,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,Developmental biology,Other (please specify),"Developmental biology, Immunology",Windows,Not sure,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology,"Life science (ecology, zoology, botany)",,Apple OS,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Satisfied,Neutral,Strongly agree,Agree,Agree,Agree,"Mostly - just how to use R and/or Python. Data management will be a very beneficial component, but even just being exposed to what each of these programs is able to do will be very helpful.",No
I am taking this survey before coming to the workshop,Yes,Post-doc,,PEB,"Life science (biology, genetics)",,Apple OS,Yes,Weekly,,R,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Sports Science,Other (please specify),Sports Physiology,Windows,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Agree,Neutral,To be very efficient at handling and processing my own data,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,"Microbiology, Bioinformatics, Molecular genetics","Life science (ecology, zoology, botany)",,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I have never programmed or used a command line. I want to be able to use them after the workshop.,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Harry Perkins Institute for Medical Research,Brain and neurosciencse,,Apple OS,Not sure,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL,R",I am working on generating data.,Not applicable,Not applicable,Strongly agree,Agree,Agree,Neutral,,No
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,No,Graduate Student,,Biology,Brain and neurosciencse,,Windows,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Neutral,Agree,Strongly agree,Agree,Neutral,Build skill and proficiency with coding.,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,School of Paediatrics and Child Health,Public health,,Windows,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Satisfied,Strongly agree,Neutral,Neutral,Neutral,To learn the basics of programming,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Plant Biology,"Life science (biology, genetics)",,Windows,Yes,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,,"Life science (biology, genetics)",,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Agree,Neutral,Neutral,Neutral,I hope to have experiences with data organization and programming.,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Physics and Astronomy,Other (please specify),Astronomy,Windows,No,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,Python",I am working on generating data.,Satisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,I hope to learn fundamental as well as sophisticated skills of managing and analyzing research data efficiently.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Chemical Engineering ,Other (please specify),Fluid mechanics ,Windows,Not sure,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology - Ecology and Evolution,"Life science (ecology, zoology, botany)",,Apple OS,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Not sure,Satisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,Python. What to use for bioinformatics.,No
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biochemistry and Molecular Biology,"Life science (biology, genetics)",,Windows,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Not sure,Not sure,Strongly agree,Neutral,Neutral,Neutral,I'm looking forwards to learning how to effectively handle large amounts of data in my field,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Atmospheric Science,Other (please specify),Energy,Windows,No,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,Python,MATLAB","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Agree,Disagree,"ideas for analysis, data management efficiency",No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Wildlife Ecology and Conservation,Other (please specify),Wildlife Ecology and Conservation,Apple OS,No,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I do not have data yet.,Unsatisfied,Neutral,Agree,Agree,Agree,Agree,managing and tidying up data,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology,"Life science (biology, genetics)",,Windows,Yes,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Basics of Python,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not sure,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,To get familiar with the data analysis and learn how to program to analyze a data set.,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Microbiology,"Life science (biology, genetics)",,Apple OS,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Neutral,Agree,Agree,Agree,Agree,I hope to increase my knowledge and skills on using Python and R which will help with the data analysis of my PhD,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Biology,"Life science (biology, genetics)",,Apple OS,No,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Unsatisfied,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,"SQL, better Python skills, data management that can be centralised",No
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,biomedical engineering,Medicine,,Windows,No,Daily,,R,"Yes, and I've already done a fair bit of analysis.",Satisfied,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"graphics in R, SQL",Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Pharmacotherapy,"Life science (biology, genetics)",,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,,Yes
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Post-doc,,Crop Genetics,"Life science (biology, genetics)",,Windows,Yes,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I most hope to learn how to manage my analysis in a trackable manner,No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Faculty,,,Public health,,Windows,Yes,Less than once a year,,,"Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Neutral,Neutral,Neutral,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Clinical and molecular cancer studies,"Life science (biology, genetics)",,Not sure,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Unsatisfied,Neutral,Strongly agree,Agree,Neutral,Learn the importance of using scripting language for large data analysis,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Fisheries,"Life science (biology, genetics)",,Apple OS,Yes,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Crop Genetics,"Life science (biology, genetics)",,Windows,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I am working on generating data.,Neutral,Neutral,Agree,Agree,Agree,Agree,I want to learn strategies to handle large datasets without just relying on often unwieldy Excel systems.,No
I am taking this survey before coming to the workshop,Yes,Industry,,Private Consultant,Other (please specify),Communications,Windows,No,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,R","Yes, and I've already done a fair bit of analysis.",Very satisfied,Very satisfied,Strongly agree,Agree,Neutral,Neutral,How to construct data architectures,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Wildlife Ecology and Conservation,"Life science (ecology, zoology, botany)",,Windows,Not sure,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Neutral,Strongly agree,Agree,"How to manage data efficiently, ti make analysis easier",Yes
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Statistics,Statistics,,Windows,Not sure,Several times a year,,"R,MATLAB",I do not have data yet.,Unsatisfied,Unsatisfied,Disagree,Agree,Agree,Neutral,Learning to work with the most applicable tools in data analysis.,Yes
I am taking this survey before coming to the workshop,No,Staff,,Physics and Astronomy,Physics,,Windows,Not sure,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,Python,MATLAB","Yes, I have data but I haven't started analyzing it yet.",Satisfied,Satisfied,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I hope to become more proficient in Python scripting and become more experienced with R.,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Fisheries and Aquatic Science,"Life science (biology, genetics)",,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,I hope to become more familiar with R and better understand statistical functions. ,Yes
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,Yes
I am taking this survey before coming to the workshop,Yes,Industry,,Molecular Genetics,Other (please specify),Genotyping plants,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Neutral,Strongly agree,Agree,Agree,Neutral,,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,School of Natural Resources and the Environment,Other (please specify),Interdisciplinary ,Apple OS,Yes,Less than once a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Satisfied,Unsatisfied,Strongly agree,Strongly agree,Neutral,Agree,I have a couple of ideas on how to analyze my data and I want to learn the best approach to doing them in R. I am also unfamiliar with writing code so I want to get better at that. ,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Functional Genomics and Genetics,"Life science (biology, genetics)",,Windows,Not sure,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,,No
I am taking this survey before coming to the workshop,Yes,Staff,,Forestry,"Tech support, lab tech, or support programmer",,Windows,No,Weekly,,FileMaker Pro or Microsoft Access,I do not have data yet.,Unsatisfied,Unsatisfied,Strongly agree,Agree,Agree,Neutral,I would like to have more options for working with poorly structured data sets that are hard to groom into usable structures in Access.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Bio-informatics,"Life science (biology, genetics)",,Apple OS,No,Less than once a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I do not have data yet.,Unsatisfied,Very unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I hope to learn how to use a variety of programming languages and to improve my general bio-informatic skills.,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Genetics/entemology,"Life science (biology, genetics)",,Windows,No,Several times a year,,R,I am working on generating data.,Not sure,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I hope to gain an understanding of programming.  Hopefully I will then be able to overcome problems with data handling without immediately referral.,No
