"","Start.Date","End.Date","When.Taking.Survey","First.Time","Status","Status.Other","Department","Discipline","Discipline.Other","OS","With.Friend","Programming.Usage","Current.Tools.1","Current.Tools.2","Current.Tools.3","Current.Tools.4","Current.Tools.5","Current.Tools.6","Current.Tools.7","Have.Dataset","Data.Management.Strategy","Data.Analysis.Workflow","Data.Organization","Using.Scripting.Language","Using.R.or.Python","Value.of.SQL.or.Python","Hope.to.Learn","Workshop.in.US","Age","Gender","Gender.Other","Race","Race.Other","year.survey"
"590","5/10/17 9:13","5/10/17 9:20","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Health Outcomes Research","Public Health","","Windows","No","Weekly","Excel or other spreadsheet program","SQL","R","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Unsatisfied","Unsatisfied","Agree","Strongly agree","Strongly agree","Agree","master data manipulation including creating my own functions in R","Yes","45-54","Male",NA,"Black or African American","","2017"
"591","5/10/17 8:35","5/10/17 8:39","I am taking this survey before coming to the workshop","No","Staff","","Fisheries Management ","Life Science ","","Windows","No","Less than once a year","Excel or other spreadsheet program","R","","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Neutral","Neutral","Agree","Strongly agree","Strongly agree","Strongly agree","Learn R","Yes","55-64","Male",NA,"Prefer not to say","","2017"
"592","5/10/17 8:22","5/10/17 8:24","I am taking this survey before coming to the workshop","Yes","Graduate Student","","environment economics","Economics","","Apple OS","No","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"593","5/10/17 7:57","5/10/17 8:07","I am taking this survey before coming to the workshop","Yes","Faculty","","Geosciences","Earth Sciences ","","Windows","No","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Not applicable","Not applicable","Agree","Neutral","Neutral","Neutral","While I have some preliminary data on the topic I am hoping that this workshop will elucidate how I can analyze the data and, possibly, a better strategy for collecting analyzable data.","Yes","45-54","Female",NA,"White / Caucasian","","2017"
"594","5/10/17 7:49","5/10/17 7:56","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Speech-language pathology","Other","Health Sciences","Apple OS","Not sure","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I am working on generating data","Neutral","Neutral","Strongly agree","Neutral","Neutral","Agree","How to smartly organize and efficiently analyze research data.","Yes","35-44","Female",NA,"White / Caucasian","","2017"
"595","5/10/17 7:31","5/10/17 7:36","I am taking this survey before coming to the workshop","Yes","Faculty","","CELS","Life Science ","","Apple OS","Not sure","Several times a year","Excel or other spreadsheet program","SQL","R","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Ability to analyze RNAseq data from counts to graphs","Yes","45-54","Female",NA,"White / Caucasian","","2017"
"596","5/9/17 14:31","5/9/17 14:31","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"597","5/9/17 12:42","5/9/17 12:45","I am taking this survey before coming to the workshop","Yes","Post-doc","","Marine Biology","Life Science ","","Apple OS","No","Several times a year","Excel or other spreadsheet program","R","","","","","Excel or other spreadsheet program","I am working on generating data","Unsatisfied","Unsatisfied","Strongly agree","Strongly agree","Agree","Disagree","Data flow techniques, for greater output efficiency. ","Yes","45-54","Male",NA,"White / Caucasian","","2017"
"598","5/9/17 12:28","5/9/17 12:38","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Medicine, Dentistry and Biomedical Sciences","Other","Physics","Windows","Not sure","Less than once a year","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I do not have data yet","Unsatisfied","Unsatisfied","Strongly agree","Agree","Neutral","Neutral","","No","","No Answer",NA,"No Answer","","2017"
"599","5/9/17 12:07","5/9/17 12:10","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Developmental Biology ","Life Science ","","Apple OS","No","I have never programmed","Excel or other spreadsheet program","MATLAB","","","","","Excel or other spreadsheet program","I am working on generating data","Unsatisfied","Unsatisfied","Agree","Agree","Agree","Agree","","No","","No Answer",NA,"No Answer","","2017"
"600","5/9/17 10:31","5/9/17 10:31","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"601","5/9/17 9:51","5/9/17 10:00","I am taking this survey before coming to the workshop","Yes","Staff","","Research Data Service","Other","Data Library","Windows","No","Weekly","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Satisfied","Satisfied","Strongly agree","Agree","Agree","Strongly disagree","Management and analysis techniques for unstructured data.","No","","No Answer",NA,"No Answer","","2017"
"602","5/9/17 6:06","5/9/17 6:08","I am taking this survey before coming to the workshop","Yes","Faculty","","Cryptogans","Life Science ","","Apple OS","Yes","Weekly","Excel or other spreadsheet program","R","Python","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Very unsatisfied","Neutral","Strongly agree","Strongly agree","Strongly agree","Agree","","No","","No Answer",NA,"No Answer","","2017"
"603","5/9/17 6:01","5/9/17 6:02","I am taking this survey before coming to the workshop","Yes","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"604","5/7/17 10:56","5/7/17 10:58","I am taking this survey before coming to the workshop","Yes","Other","Huntington Library staff","Huntington Library","Humanities","","Apple OS","Yes","I have never programmed","Excel or other spreadsheet program","FileMaker Pro or Microsoft Access","","","","","Excel or other spreadsheet program","I do not have data yet","Neutral","Neutral","Agree","Agree","Agree","Agree","Possibilities of using Python.","Yes","25-34","Male",NA,"Asian / Pacific Islander","","2017"
"605","5/6/17 12:20","5/6/17 12:28","I am taking this survey at the workshop (and I have not previously taken a survey for this workshop)","Yes","Faculty","","History","Humanities","","Windows","Yes","Less than once a year","Excel or other spreadsheet program","FileMaker Pro or Microsoft Access","","","","","Excel or other spreadsheet program","I do not have data yet","Neutral","Neutral","Agree","Agree","Agree","Agree","","Yes","","No Answer",NA,"No Answer","","2017"
"606","5/6/17 5:03","5/6/17 5:04","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"607","5/5/17 10:25","5/5/17 10:34","I am taking this survey before coming to the workshop","Yes","Staff","","Library; Research Services","Humanities","","Windows","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Neutral","Neutral","Strongly agree","Neutral","Neutral","Neutral","As I don't know anything about R, Python, or SQL (including even how to define these terms), I hope to learn more about these programming languages and databases.","Yes","35-44","Female",NA,"White / Caucasian","","2017"
"608","5/4/17 17:44","5/4/17 17:45","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Neuroscience","Neuroscience","","Apple OS","Yes","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"609","5/4/17 12:40","5/4/17 12:46","I am taking this survey before coming to the workshop","Yes","Staff","","Library","No Answer","","Apple OS","No","I have never programmed","Excel or other spreadsheet program","FileMaker Pro or Microsoft Access","","","","","Excel or other spreadsheet program","I do not have data yet","Neutral","Neutral","Strongly agree","Neutral","Neutral","Neutral","I work with large amounts of legacy data from archival finding aids that has been inconsistently formatted, and I'd like to learn better ways to manage/manipulate/utilize it. ","Yes","25-34","Female",NA,"White / Caucasian","","2017"
"610","5/4/17 11:49","5/4/17 11:51","I am taking this survey at the workshop (and I have not previously taken a survey for this workshop)","Yes","Post-doc","","Biochemistry","Life Science ","","Apple OS","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I do not have data yet","Not applicable","Not applicable","Agree","Neutral","Neutral","Agree","","Yes","25-34","Male",NA,"White / Caucasian","","2017"
"611","5/4/17 8:56","5/4/17 8:59","I am taking this survey before coming to the workshop","Yes","Graduate Student",""," ","Life Science ","","Apple OS","No","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I do not have data yet","Satisfied","Satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","Yes","25-34","Female",NA,"Asian / Pacific Islander","","2017"
"612","5/4/17 8:03","5/4/17 8:10","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Biochemistry and Molecular Biology","Life Science ","","Apple OS","Not sure","Daily","Excel or other spreadsheet program","Python","","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Unsatisfied","Unsatisfied","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Data analysis on the cloud. ","Yes","25-34","Male",NA,"Asian / Pacific Islander","","2017"
"613","5/4/17 6:43","5/4/17 6:47","I am taking this survey before coming to the workshop","Yes","Faculty","","History","Humanities","","Apple OS","Yes","Several times a year","Excel or other spreadsheet program","R","Python","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Unsatisfied","Unsatisfied","Agree","Neutral","Neutral","Agree","","Yes","25-34","Male",NA,"White / Caucasian","","2017"
"614","5/3/17 20:55","5/3/17 21:06","I am taking this survey before coming to the workshop","Yes","Faculty","","Pharmacology","Life Science ","","Windows","Not sure","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Unsatisfied","Unsatisfied","Agree","Strongly agree","Strongly agree","Neutral","How to analyze genome-wide data, from processing of the raw data (Fastq file) to statistical analysis","Yes","45-54","Male",NA,"Asian / Pacific Islander","","2017"
"615","5/3/17 20:53","5/3/17 21:00","I am taking this survey before coming to the workshop","Yes","Faculty","","Neuroscience and Physiology","Neuroscience","","Apple OS","No","Several times a year","Excel or other spreadsheet program","MATLAB","","","","","Excel or other spreadsheet program","I am working on generating data","Unsatisfied","Unsatisfied","Strongly agree","Agree","Agree","Neutral","Get familiarity with how to get started with elementary analysis, build up some experience so that I am able to ask questions, hopefully allowing me to be more effective.","Yes","55-64","Male",NA,"White / Caucasian","","2017"
"616","5/3/17 19:11","5/3/17 19:11","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"617","5/3/17 19:11","5/3/17 19:11","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"618","5/3/17 4:21","5/3/17 4:23","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"619","5/3/17 0:09","5/3/17 0:27","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Cell Biology","Life Science ","","Apple OS","Yes","Several times a year","Excel or other spreadsheet program","MATLAB","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Unsatisfied","Unsatisfied","Strongly agree","Strongly agree","Agree","Agree","More efficient data storage and analysis. ","Yes","25-34","Female",NA,"White / Caucasian","","2017"
"620","5/2/17 21:55","5/2/17 21:59","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Neuroscience and Physiology","Life Science ","","Windows","Yes","Several times a year","Excel or other spreadsheet program","Python","MATLAB","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Neutral","Neutral","Agree","Strongly agree","Strongly agree","Strongly agree","build upon my existing knowledge of Python and get an introduction to R, etc.","Yes","25-34","Male",NA,"White / Caucasian","","2017"
"621","5/2/17 21:10","5/2/17 21:16","I am taking this survey before coming to the workshop","Yes","Post-doc","","Microbiology and Immunology","Life Science ","","Apple OS","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Very unsatisfied","Very unsatisfied","Strongly agree","Strongly agree","Strongly agree","Neutral","I hope to obtain a foundation of what I need to do in order to start analyzing my data sets, and perhaps knowledge of resources that can help me along the way.","Yes","45-54","Female",NA,"White / Caucasian","","2017"
"622","5/2/17 14:51","5/2/17 17:33","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Pharmacology","Life Science ","","Windows","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I am working on generating data","Satisfied","Neutral","Strongly agree","Neutral","Neutral","Neutral","Looking forward to get some basic idea about how to use these statistical tools, and programming languages.","Yes","25-34","Male",NA,"Asian / Pacific Islander","","2017"
"623","5/2/17 12:06","5/2/17 12:16","I am taking this survey before coming to the workshop","Yes","Faculty","","History","Humanities","","Apple OS","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Very unsatisfied","Very unsatisfied","Agree","Neutral","Neutral","Neutral","Reproducibility is not a high research value to historians, or humanists in general. Making heretofore unknown data, or hard to access research material, is, as is collation and interpretation. I hope to discover a potential method of how to organize and share data that is difficult to access, inconsistently digitized, and would benefit from collaborative analysis (as opposed to the single-author method more typical of historians and humanists in general.) Most of this data is qualitative in nature.","Yes","45-54","Female",NA,"Prefer not to say","","2017"
"624","5/2/17 10:10","5/2/17 10:14","I am taking this survey before coming to the workshop","Yes","Other","staff at affiliated institution","Library","Humanities","","Not sure","Not sure","I have never programmed","Excel or other spreadsheet program","FileMaker Pro or Microsoft Access","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Unsatisfied","Unsatisfied","Agree","Neutral","Neutral","Neutral","","Yes","35-44","Female",NA,"White / Caucasian","","2017"
"625","5/1/17 22:11","5/1/17 22:17","I am taking this survey before coming to the workshop","Yes","Faculty","","Neuroscience and Physiology","Neuroscience","","Windows","Yes","Less than once a year","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I am working on generating data","Very unsatisfied","Unsatisfied","Agree","Agree","Neutral","Neutral","I expect to learn basic methods and techniques to gather genomic/transcriptomic data from repositories (including my own RNAseq data from Illumina) and perform basic comparative analysis to answer specific queries.","Yes","45-54","Male",NA,"Hispanic or Latino","","2017"
"626","5/1/17 21:10","5/1/17 21:10","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"627","5/1/17 13:43","5/1/17 13:49","I am taking this survey before coming to the workshop","Yes","Faculty","","Biochemistry and Molecular Biology","Life Science ","","Apple OS","Yes","I have never programmed","","","","","","","","I am working on generating data","Not applicable","Not applicable","Agree","Neutral","Neutral","Neutral","How to apporach genomic analysis.  We are going to be doing RNA-sequencing etc in the near future ","Yes","55-64","Male",NA,"White / Caucasian","","2017"
"628","5/1/17 13:40","5/1/17 13:51","I am taking this survey before coming to the workshop","Yes","Staff","","Neurosurgery","Neuroscience","","Windows","Yes","I have never programmed","Excel or other spreadsheet program","FileMaker Pro or Microsoft Access","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Unsatisfied","Unsatisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","Yes","45-54","Female",NA,"White / Caucasian","","2017"
"629","5/1/17 13:32","5/1/17 13:50","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Microbiology and Immunology","Life Science ","","Not sure","Yes","Monthly","Excel or other spreadsheet program","R","Python","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Unsatisfied","Neutral","Strongly agree","Agree","Agree","Agree","I would like to gain a better understanding script writing and programming in general and how to apply these techniques to my own research needs.","Yes","18-24","Male",NA,"White / Caucasian","","2017"
"630","5/1/17 13:20","5/1/17 13:28","I am taking this survey before coming to the workshop","Yes","Faculty","","Neuroscience and Physiology","Neuroscience","","Windows","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I do not have data yet","Not sure","Not sure","Agree","Agree","Agree","Neutral","learn basics about large data set analysis","Yes","25-34","Male",NA,"Asian / Pacific Islander","","2017"
"631","5/1/17 13:20","5/1/17 13:27","I am taking this survey before coming to the workshop","Yes","Staff","","Neuroscience and Physiology","Neuroscience","","Windows","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Not applicable","Not applicable","Strongly agree","Strongly agree","Strongly agree","Strongly agree","analyze and Answer my questions ","Yes","25-34","Female",NA,"Asian / Pacific Islander","","2017"
"632","5/1/17 12:40","5/1/17 12:46","I am taking this survey before coming to the workshop","Yes","Faculty","","Humanities and Social Sciences","Humanities","","Apple OS","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I am working on generating data","Not applicable","Not applicable","Strongly agree","Neutral","Neutral","Neutral","An introduction to data management and analysis for humanistic research","Yes","35-44","Female",NA,"White / Caucasian","","2017"
"633","5/1/17 8:10","5/1/17 8:10","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"634","4/30/17 22:14","4/30/17 22:21","I am taking this survey before coming to the workshop","Yes","Faculty","","History","Humanities","","Apple OS","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I am working on generating data","Unsatisfied","Unsatisfied","Agree","Strongly disagree","Disagree","Neutral","","Yes","","No Answer",NA,"No Answer","","2017"
"635","4/30/17 18:34","4/30/17 18:38","I am taking this survey before coming to the workshop","Yes","Graduate Student","","History","Humanities","","Windows","Yes","Less than once a year","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Very unsatisfied","Very unsatisfied","Agree","Agree","Agree","Neutral","A python refresh, and more insight into how to better manage and structure date. ","Yes","25-34","Male",NA,"White / Caucasian","","2017"
"636","4/30/17 18:15","4/30/17 18:18","I am taking this survey before coming to the workshop","No","Faculty",""," ","Humanities","","Windows","Yes","Several times a year","Excel or other spreadsheet program","FileMaker Pro or Microsoft Access","Python","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Satisfied","Unsatisfied","Strongly agree","Agree","Neutral","Neutral","I want to learn to think about the data that I use in ways that researchers in other fields think about data, and to thereby change my perspective on my own methodology and how research efforts and results could better be shared.","Yes","35-44","Female",NA,"White / Caucasian","","2017"
"637","4/29/17 18:02","4/29/17 18:11","I am taking this survey before coming to the workshop","Yes","Faculty","","History","Humanities","","Apple OS","No","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Satisfied","Not sure","Strongly agree","Neutral","Neutral","Neutral","I have never learned programming languages and I want to find out what tools are available and which ones are applicable to my research.","Yes","25-34","Female",NA,"Asian / Pacific Islander","","2017"
"638","4/29/17 16:56","4/29/17 17:02","I am taking this survey before coming to the workshop","Yes","Faculty","","Social Science","Other","Economics","Windows","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I do not have data yet","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Basic strategies and choice parameters for setting up data management","Yes","65-74","Male",NA,"Asian / Pacific Islander","","2017"
"639","4/28/17 11:33","4/28/17 11:39","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Sociology","Humanities","","Apple OS","No","I have never programmed","","","","","","","","I do not have data yet","Neutral","Unsatisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","No","","No Answer",NA,"No Answer","","2017"
"640","4/28/17 10:45","4/28/17 10:45","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"641","4/28/17 10:13","4/28/17 10:19","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Sociology","Other","Social Science","Windows","Not sure","Several times a year","Excel or other spreadsheet program","R","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Neutral","Neutral","Agree","Agree","Neutral","Neutral","How to efficiently handle data in a way that is well-structured. ","No","","No Answer",NA,"No Answer","","2017"
"642","4/27/17 12:12","4/27/17 12:18","I am taking this survey at the workshop (and I have not previously taken a survey for this workshop)","Yes","Post-doc","","Biology","Life Science ","","Apple OS","No","Monthly","Excel or other spreadsheet program","Python","","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Neutral","Unsatisfied","Strongly agree","Agree","Agree","Neutral","Analysis and visualization strategies. primer to getting data set up for more advanced analyses","Yes","35-44","Male",NA,"White / Caucasian","","2017"
"643","4/26/17 13:51","4/26/17 13:52","I am taking this survey at the workshop (and I have not previously taken a survey for this workshop)","Yes","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"644","4/26/17 11:15","4/26/17 11:15","I am taking this survey before coming to the workshop","Yes","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"645","4/26/17 1:17","4/26/17 1:32","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Physical Chemistry","Chemistry","","Apple OS","Yes","Several times a year","Excel or other spreadsheet program","Python","","","","","Excel or other spreadsheet program","I am working on generating data","Neutral","Unsatisfied","Agree","Strongly agree","Agree","Neutral","Ability to use currently developed packages to help in analyzing my RNA-seq data as well as becoming comfortable with looking into the code of packages to make informed decisions on whether or not to use said package for my analyses.","Yes","25-34","Female",NA,"Other","White + Asian = Whasian?","2017"
"646","4/25/17 20:08","4/25/17 20:13","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Materials Science ","Chemistry","","Windows","Yes","Less than once a year","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I am working on generating data","Neutral","Neutral","Agree","Agree","Agree","Agree","","Yes","18-24","Female",NA,"Prefer not to say","","2017"
"647","4/25/17 18:44","4/25/17 18:45","I am taking this survey before coming to the workshop","Yes","Graduate Student",""," ","No Answer","","","","","","","","","","","","","","","","","","","","Yes","","No Answer",NA,"No Answer","","2017"
"648","4/25/17 15:01","4/25/17 15:09","I am taking this survey before coming to the workshop","Yes","Staff","","Library","Economics","","Not sure","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Very unsatisfied","Very unsatisfied","Strongly agree","Strongly agree","Neutral","Neutral","I would like to learn more about what programming tools might help me program collections to extract additional information. What tools are best used for what sort of analysis or to improve processes.","Yes","","No Answer",NA,"No Answer","","2017"
"649","4/25/17 14:54","4/25/17 15:00","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Applied Physics","Physics","","Apple OS","Yes","Several times a year","MATLAB","","","","","","","I do not have data yet","Neutral","Neutral","Agree","Strongly agree","Strongly agree","Neutral","","Yes","25-34","Male",NA,"Asian / Pacific Islander","","2017"
"650","4/25/17 14:18","4/25/17 14:23","I am taking this survey before coming to the workshop","Yes","Staff","","Research and Statistics","No Answer","","Not sure","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I do not have data yet","","Not applicable","Agree","Neutral","Neutral","Neutral","","Yes","45-54","Female",NA,"Prefer not to say","","2017"
"651","4/25/17 10:00","4/25/17 11:08","I am taking this survey before coming to the workshop","Yes","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"652","4/25/17 10:42","4/25/17 10:45","I am taking this survey before coming to the workshop","Yes","Other","Staff and graduate student ","Federal Reserve; Supervision and Regulation ","Other","Finance","Windows","Yes","Less than once a year","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I am working on generating data","Neutral","Neutral","Strongly agree","Agree","Neutral","Neutral","I have been exposed to R and SQL through grad school. I'd like to become more comfortable with the programs and gain ideas of how I can use the programs in my daily work. ","Yes","18-24","Female",NA,"Prefer not to say","","2017"
"653","4/25/17 10:25","4/25/17 10:28","I am taking this survey before coming to the workshop","Yes","Other","Graduate Student + Industry","High Performance Computing","Computer Science","","Linux","Not sure","Weekly","Python","","","","","","","I do not have data yet","Neutral","Neutral","Agree","Agree","Agree","Disagree","What Data Carpentry is all about","Yes","35-44","Male",NA,"White / Caucasian","","2017"
"654","4/25/17 9:58","4/25/17 10:02","I am taking this survey before coming to the workshop","Yes","Industry","","Banking Supervision","Other","Banking","Windows","No","Daily","Excel or other spreadsheet program","SQL","R","","","","Excel or other spreadsheet program","I do not have data yet","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree","Disagree","","Yes","25-34","Female",NA,"White / Caucasian","","2017"
"655","4/25/17 9:54","4/25/17 10:05","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Treasury","Other","Finance","Windows","No","Daily","Excel or other spreadsheet program","SQL","","","","","Excel or other spreadsheet program","I do not have data yet","Satisfied","Satisfied","Strongly agree","Strongly agree","Agree","Strongly agree","How R distinguishes itself from SQL.","Yes","18-24","Male",NA,"Black or African American","","2017"
"656","4/25/17 9:39","4/25/17 9:42","I am taking this survey before coming to the workshop","Yes","Industry",""," ","Economics","","Windows","Yes","Daily","Excel or other spreadsheet program","SQL","R","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Satisfied","Satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Learning data management using R and python.","Yes","18-24","Male",NA,"White / Caucasian","","2017"
"657","4/25/17 9:22","4/25/17 9:27","I am taking this survey before coming to the workshop","Yes","Staff","","Banking Supervision","No Answer","","Windows","Yes","Daily","Excel or other spreadsheet program","SQL","R","Python","","","Excel or other spreadsheet program","I am working on generating data","Satisfied","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Scripting analyses in R and Python.  Already comfortable with SQL.  Tying these three softwares together would be ideal.","Yes","25-34","Male",NA,"White / Caucasian","","2017"
"658","4/25/17 9:09","4/25/17 9:18","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Risk","Engineering","","Windows","Not sure","Daily","Excel or other spreadsheet program","FileMaker Pro or Microsoft Access","SQL","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Satisfied","Satisfied","Strongly agree","Strongly agree","Strongly agree","Agree","","Yes","35-44","Male",NA,"Black or African American","","2017"
"659","4/25/17 7:54","4/25/17 7:59","I am taking this survey before coming to the workshop","Yes","Staff","","Research","Other","Information Science","Windows","Yes","Daily","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Not applicable","Not applicable","Strongly agree","Neutral","Neutral","Neutral","I would like a better understanding of the tools data analysts use and the challenges they face doing the ETL process with acquired data from 3rd party data vendors","Yes","45-54","Female",NA,"White / Caucasian","","2017"
"660","4/25/17 7:50","4/25/17 7:53","I am taking this survey before coming to the workshop","Yes","Industry","","Supervision and Regulation","Economics","","Not sure","Yes","Daily","Excel or other spreadsheet program","SQL","","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Satisfied","Neutral","Strongly agree","Strongly agree","Neutral","Strongly agree","","Yes","18-24","Female",NA,"Asian / Pacific Islander","","2017"
"661","4/25/17 6:57","4/25/17 7:00","I am taking this survey before coming to the workshop","Yes","Staff","","Research and Statistics","Other","Mathematics","Not sure","Yes","Daily","Excel or other spreadsheet program","R","Python","MATLAB","","","Excel or other spreadsheet program","I do not have data yet","Not applicable","Not applicable","Agree","Strongly agree","Agree","Neutral","","Yes","35-44","Female",NA,"White / Caucasian","","2017"
"662","4/24/17 21:02","4/24/17 21:04","I am taking this survey before coming to the workshop","Yes","Graduate Student","","hss","Economics","","Apple OS","No","Not sure","SQL","R","Python","MATLAB","","","","","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","","Yes","25-34","Male",NA,"White / Caucasian","","2017"
"663","4/24/17 20:47","4/24/17 20:50","I am taking this survey before coming to the workshop","No","Graduate Student","","Biochemistry and Molecular Biology","Life Science ","","Apple OS","Not sure","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Unsatisfied","Unsatisfied","Agree","Strongly agree","Strongly agree","Strongly agree","learn how to quickly deal with formatting and grouping within large dataset;

learn how to append information from web ","Yes","25-34","Female",NA,"Asian / Pacific Islander","","2017"
