When-Taking-Survey,Information,Atmosphere,Skills,Material,Recommend,Worth,Pace,Balance,Instructors-Clear-Answers,Instructors-Considerate,Instructors-Communicators,Instructors-Enthusiastic,Helpers-Clear-Answers,Helpers-Considerate,Helpers-Communicators,Helpers-Enthusiastic,Enough-Helpers,New-Information,Unix-Shell-Pre,Unix-Shell-Perception,Git-Pre,Git-Perception,Python-Pre,Python-Perception,R-Pre,R-Perception,SQL-Pre,SQL-Perception,Unix-Shell-Knowledge-Increase,Unix-Shell-Intimidating,Git-Knowledge-Increase,Git-Intimidating,Python-Knowledge-Increase,Python-Intimidating,R-Knowledge-Increase,R-Intimidating,SQL-Knowledge-Increase,SQL-Intimidating,After-Unix-Shell-Motivation,After-Git-Motivation,After-Python-Motivation,After-R-Motivation,After-SQL-Motivation,Pipes-Before-Workshop,Pipes-After-Workshop,Loops-Before-Workshop,Loops-After-Workshop,Git-Repo-Before-Workshop,Git-Repo-After-Workshop,Function-Before-Workshop,Function-After-Workshop,Import-Library-Before-Workshop,Import-Library-After-Workshop,Unit-Test-Before-Workshop,Unit-Test-After-Workshop,SQL-Query-Before-Workshop,SQL-Query-After-Workshop,Status,Status-Other,Research-Domain,Gender,Above-18,Workshop-in-US,Likely-to-Recommend
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,,,Yes,Some of it,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Not at all intimidating,,,,,Knowledge increased a little,Became much more intimidating,Knowledge increased slightly,Became much more intimidating,Knowledge increased slightly,Became much more intimidating,,,,,Much more motivated,More motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased a bit,Yes,No change in confidence,No,Confidence increased slightly,Yes,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,,,Faculty,,               architecture,Female,Yes,Yes,10
"I have recently completed the workshop, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,               ,,,,
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,N/A or No opinion,,,Some knowledge of topic,Neither intimidating nor unintimidating,,,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a great deal,Became slightly less intimidating,,,Knowledge increased a little,No change - (Not less or more intimidating),,,Much more motivated,Much more motivated,N/A - Topic not covered,Much more motivated,N/A - Topic not covered,No,Confidence increased a bit,No,N/A - Not covered at workshop,No,Confidence increased a bit,Yes,Confidence increased a bit,Yes,Confidence increased greatly,No,N/A - Not covered at workshop,No,N/A - Not covered at workshop,Graduate Student,,"      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Male,Yes,Yes,10
"I have recently completed the workshop, and am taking it after I left the event",Agree,Agree,Agree,Agree,Agree,Agree,Just right,Balanced (lecture/hands-on),Often,Often,Often,Often,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Some knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Neither intimidating nor unintimidating,Extensive knowledge of topic,Not very intimidating,Little or no knowledge of topic,N/A or No opinion,Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a great deal,Became much less intimating,No increase in my knowledge,Became much less intimating,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Yes,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,Maybe,No change in confidence,Graduate Student,,               Biotechnology,Male,Yes,No,9
"I have just completed the workshop, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,               ,,,,
"I have recently completed the workshop, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,               ,,,,
"I have just completed the workshop, and am taking it at the event",Agree,Agree,Agree,Agree,Agree,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,All of it,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,,N/A or No opinion,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,No,N/A - Not covered at workshop,Graduate Student,,"Chemistry      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Female,Yes,No,9
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Slightly fast,Slightly too much hands-on,Often,All of the time,All of the time,All of the time,Often,All of the time,All of the time,All of the time,Yes,About half of it,Some knowledge of topic,N/A or No opinion,Little or no knowledge of topic,N/A or No opinion,Some knowledge of topic,N/A or No opinion,Little or no knowledge of topic,N/A or No opinion,Little or no knowledge of topic,N/A or No opinion,Knowledge increased a great deal,N/A - Not covered at this workshop,Knowledge increased a great deal,N/A - Not covered at this workshop,Knowledge increased a great deal,N/A - Not covered at this workshop,Knowledge increased a great deal,N/A - Not covered at this workshop,Knowledge increased a great deal,N/A - Not covered at this workshop,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Undergraduate Student,,"     Life Sciences (Genetics, genomics, bioinformatics )          ",Male,Yes,No,10
"I have just completed the workshop, and am taking it at the event",Agree,Agree,Agree,Agree,Strongly Agree,Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,N/A or No opinion,Knowledge increased a little,Became much less intimating,Knowledge increased a little,Became much less intimating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,Yes,Confidence increased a bit,Maybe,Confidence increased slightly,Yes,Confidence increased a bit,Maybe,Confidence increased slightly,Yes,Confidence increased greatly,Yes,Confidence increased a bit,No,N/A - Not covered at workshop,Other (please specify),doctoral student,"     Life Sciences (Genetics, genomics, bioinformatics )          ",Female,Yes,No,10
"I have just completed the workshop, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Slightly fast,Too much hands-on,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,No,Most of it,Little or no knowledge of topic,N/A or No opinion,Little or no knowledge of topic,N/A or No opinion,Little or no knowledge of topic,N/A or No opinion,Some knowledge of topic,Not at all intimidating,,,Knowledge increased a little,Became much less intimating,Knowledge increased slightly,Became much less intimating,Knowledge increased slightly,No change - (Not less or more intimidating),Knowledge increased a great deal,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,No,Confidence increased slightly,No,Confidence increased slightly,No,Confidence increased slightly,No,Confidence increased a bit,Yes,No change in confidence,No,Confidence increased slightly,,N/A - Not covered at workshop,Undergraduate Student,,"     Life Sciences (Genetics, genomics, bioinformatics )          ",Female,No,No,9
"I have just completed the workshop, and am taking it at the event",Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Too fast,Slightly too much hands-on,Often,Often,Sometimes,All of the time,Often,All of the time,All of the time,All of the time,Yes,All of it,Little or no knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Knowledge increased a little,Became much less intimating,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became much less intimating,Knowledge increased slightly,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased a bit,Maybe,Confidence increased greatly,,,Faculty,,"     Life Sciences (Genetics, genomics, bioinformatics )          ",Female,Yes,No,9
"I have recently completed the workshop, and am taking it after I left the event",Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Slightly fast,Balanced (lecture/hands-on),Often,Often,Often,Often,Often,All of the time,All of the time,All of the time,Yes,Most of it,Some knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not very intimidating,Some knowledge of topic,Not at all intimidating,Little or no knowledge of topic,N/A or No opinion,Knowledge increased a little,Became much less intimating,Knowledge increased a little,Became much less intimating,Knowledge increased a little,Became much less intimating,Knowledge increased a little,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,Yes,Confidence increased a bit,Yes,Confidence increased a bit,No,Confidence increased greatly,Yes,Confidence increased a bit,Yes,Confidence increased a bit,No,Confidence increased greatly,No,N/A - Not covered at workshop,Other (please specify),Estudiante de Maestría,"Chemistry     Life Sciences (Genetics, genomics, bioinformatics ) Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Male,Yes,No,10
"I have just completed the workshop, and am taking it at the event",Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Extensive knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Neither intimidating nor unintimidating,,N/A or No opinion,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,More motivated,Much more motivated,Much more motivated,N/A - Topic not covered,No,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased a bit,No,N/A - Not covered at workshop,Graduate Student,,"      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Male,Yes,No,9
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Slightly fast,Too much hands-on,All of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Knowledge increased a great deal,Became slightly more intimidating,Knowledge increased a great deal,Became slightly more intimidating,Knowledge increased a little,Became slightly more intimidating,Knowledge increased a little,Became slightly more intimidating,Knowledge increased a little,Became slightly more intimidating,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Maybe,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,Undergraduate Student,,"      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Male,Yes,No,10
"I have just completed the workshop, and am taking it at the event",Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Slightly fast,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Often,All of the time,Often,All of the time,Yes,Most of it,Some knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Knowledge increased a little,No change - (Not less or more intimidating),Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,No change - (Not less or more intimidating),Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Yes,Confidence increased slightly,Yes,Confidence increased slightly,No,Confidence increased slightly,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,No change in confidence,Graduate Student,,"     Life Sciences (Genetics, genomics, bioinformatics )          ",Female,Yes,No,9
"I have just completed the workshop, and am taking it at the event",Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly fast,Slightly too much hands-on,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Some knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,,,Knowledge increased slightly,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased slightly,Became slightly less intimidating,Knowledge increased slightly,Became slightly less intimidating,,,Much more motivated,Much more motivated,More motivated,More motivated,,Maybe,Confidence increased greatly,No,Confidence increased slightly,No,Confidence increased greatly,No,Confidence increased slightly,No,Confidence increased slightly,No,Confidence increased slightly,,,Graduate Student,,"     Life Sciences (Genetics, genomics, bioinformatics )          ",Male,Yes,No,8
"I have just completed the workshop, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Too fast,Slightly too much hands-on,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,All of it,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,,,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a great deal,Became slightly less intimidating,,,Much more motivated,Much more motivated,Much more motivated,Much more motivated,,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased greatly,,,Research staff (including research programmer),,"     Life Sciences (Genetics, genomics, bioinformatics ) Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Male,Yes,No,10
"I have just completed the workshop, and am taking it at the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,,Some knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a little,No change - (Not less or more intimidating),Knowledge increased a little,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),No increase in my knowledge,No change - (Not less or more intimidating),Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased a bit,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,No,Confidence increased a bit,Research staff (including research programmer),,    Humanities           ,Male,Yes,No,10
"I have just completed the workshop, and am taking it at the event",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Often,All of the time,Often,Often,Yes,Most of it,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Knowledge increased a little,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),More motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased a bit,No,Confidence increased slightly,Research staff (including research programmer),,"      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Female,Yes,No,9
"I have just completed the workshop, and am taking it at the event",Agree,Agree,Agree,Agree,Agree,Agree,Slightly fast,Too much lecture,Often,All of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,About half of it,Extensive knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Very intimidating to me,Some knowledge of topic,Very intimidating to me,Some knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Knowledge increased slightly,Became slightly less intimidating,Knowledge increased a great deal,Became much more intimidating,Knowledge increased a little,Became much more intimidating,Knowledge increased a little,Became much more intimidating,Knowledge increased a little,Became much more intimidating,Less motivated,Less motivated,Less motivated,Less motivated,Slightly less motivated,Maybe,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,Maybe,Confidence increased a bit,Maybe,Confidence increased a bit,No,Confidence increased slightly,Graduate Student,,"     Life Sciences (Genetics, genomics, bioinformatics ) Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)     Planetary sciences (geology, climatology, oceanography, etc.)    ",Male,Yes,No,9
"I have just completed the workshop, and am taking it at the event",Neither Agree nor Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Often,All of the time,Often,Often,Yes,About half of it,Some knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,N/A or No opinion,Knowledge increased a great deal,Became much less intimating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a great deal,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,No,N/A - Not covered at workshop,No,N/A - Not covered at workshop,Other (please specify),Estudiante de maestría,"Chemistry     Life Sciences (Genetics, genomics, bioinformatics ) Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Male,Yes,No,10
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Agree,Agree,Agree,Agree,Just right,Slightly too much hands-on,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,N/A or No opinion,Knowledge increased a little,No change - (Not less or more intimidating),Knowledge increased a little,No change - (Not less or more intimidating),Knowledge increased a little,No change - (Not less or more intimidating),Knowledge increased a little,No change - (Not less or more intimidating),N/A - Not covered at this workshop,N/A - Not covered at this workshop,More motivated,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,No,Confidence increased a bit,No,Confidence increased a bit,Yes,Confidence increased a bit,Yes,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,N/A - Not covered at workshop,Undergraduate Student,,"     Life Sciences (Genetics, genomics, bioinformatics ) Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Male,Yes,No,9
"I have just completed the workshop, and am taking it at the event",Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,All of it,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,Research staff (including research programmer),,"      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Female,No,No,10
"I have recently completed the workshop, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,               ,,,,
"I have just completed the workshop, and am taking it at the event",Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Just right,Slightly too much hands-on,All of the time,Often,All of the time,Sometimes,Often,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Slightly intimidating to me,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became much less intimating,Knowledge increased slightly,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,Knowledge increased a little,Became slightly less intimidating,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,Yes,Confidence increased greatly,No,Confidence increased a bit,Maybe,Confidence increased a bit,Graduate Student,,"     Life Sciences (Genetics, genomics, bioinformatics ) Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Female,No,Yes,9
"I have just completed the workshop, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,               ,,,,
"I have just completed the workshop, and am taking it at the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Just right,Slightly too much hands-on,Often,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,All of it,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Not very intimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,Knowledge increased slightly,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,More motivated,Much more motivated,Much more motivated,N/A - Topic not covered,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,Maybe,Confidence increased greatly,Maybe,Confidence increased greatly,No,Confidence increased greatly,,,Graduate Student,,"      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Female,Yes,No,10
"I have just completed the workshop, and am taking it at the event",Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,All of it,Some knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,,,Knowledge increased a little,Became much less intimating,Knowledge increased slightly,Became much less intimating,Knowledge increased slightly,Became much less intimating,Knowledge increased slightly,Became much less intimating,,,Much more motivated,Much more motivated,Much more motivated,Much more motivated,,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,N/A - Not covered at workshop,Undergraduate Student,,"     Life Sciences (Genetics, genomics, bioinformatics )          ",Male,Yes,No,9
"I have just completed the workshop, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Just right,Slightly too much hands-on,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Some knowledge of topic,Not very intimidating,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Neither intimidating nor unintimidating,,,Knowledge increased a little,No change - (Not less or more intimidating),Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became much less intimating,,,Much more motivated,No change in motivation,More motivated,More motivated,,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,Yes,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,,,Graduate Student,,"     Life Sciences (Genetics, genomics, bioinformatics )          ",Female,Yes,No,9
