When-Taking-Survey,First-Time,Research,Status,Status-Other,Involvement,Practical-Knowledge,Organize-Data,Use-OpenRefine,Import-Python,Import-R,Visualizations-in-Python,Visualizations-in-R,Construct-SQL,Use-command-line,Skill-Level-Prior,Skill-Level-Following,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Application,Worth-My-Time,Material,Recommend,Instructors-Clear-Answers,Instructors-Considerate,Instructors-Effective,Instructors-Enthusiastic,Workshop-in-US
"I have recently completed the workshop, and am taking it after I left the event",yes,Neurooncology,Graduate student,,Very involved,Some practical knowledge,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Neutral,High,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Neutral,Neutral,Neutral,Usually,Always,Most of the time,Most of the time,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbiology,Graduate student,,Somewhat involved,None,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Agree,Neutral,Agree,Low,About the same,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Usually,Sometimes,Sometimes,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Medical Microbiology,Other (please specify),technician,Very involved,A great deal,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,,Agree,Very low,Somewhat higher,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Always,Always,Most of the time,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbiology,Graduate student,,Very involved,Some practical knowledge,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Strongly Agree,Low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Always,Always,Most of the time,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbiology,Other (please specify),Technician,Very involved,A great deal,Agree,Neutral,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Neutral,Strongly Agree,Low,Higher,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Most of the time,Always,Usually,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,statistics,Post-doc,,Very involved,A great deal,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,Agree,Neither high nor low,Somewhat higher,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Most of the time,Most of the time,Most of the time,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbiology & Immunology,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,Neutral,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Low,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Mathematics,Undergraduate student,,Very involved,Some practical knowledge,Disagree,Neutral,NA/Not covered at this workshop,Disagree,NA/Not covered at this workshop,Disagree,NA/Not covered at this workshop,Strongly Agree,Neither high nor low,Somewhat higher,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Most of the time,Most of the time,Usually,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbiology,Staff,,Enthusiastically involved,A great deal,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Neither high nor low,Higher,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Most of the time,Always,Always,Always,no
"I have just completed the workshop, and am taking it at the event",yes,Epidemiology,Graduate student,,Somewhat involved,Some practical knowledge,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Virology,Other (please specify),lab technician,Somewhat involved,Some practical knowledge,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Very low,Somewhat higher,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Always,Always,Always,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbiology,Undergraduate student,,Enthusiastically involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Neither high nor low,Higher,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",no,Soil Science,Graduate student,,Very involved,Some practical knowledge,Neutral,Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Agree,Neutral,High,Somewhat higher,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Most of the time,Always,Most of the time,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Plant Genetics,Post-doc,,Very involved,Some practical knowledge,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,Low,Somewhat higher,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",no,Ecology,Faculty,,Very involved,Some practical knowledge,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,High,Higher,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Mathematics,Undergraduate student,,Enthusiastically involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Most of the time,Most of the time,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Animal Sciences,Staff,,Somewhat involved,A great deal,Neutral,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Agree,NA/Not covered at this workshop,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbiology,Undergraduate student,,Enthusiastically involved,A great deal,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbiology,Graduate student,,Very involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Most of the time,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbiology,Graduate student,,Enthusiastically involved,A great deal,Disagree,Disagree,Disagree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,Very low,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Always,Most of the time,Always,no
"I have just completed the workshop, and am taking it at the event",yes,Microbiology,Graduate student,,Very involved,Some practical knowledge,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Neither high nor low,Somewhat higher,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Most of the time,Most of the time,Most of the time,Most of the time,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Graduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Disagree,NA/Not covered at this workshop,Low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Plant Pathology,Graduate student,,Very involved,A great deal,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Low,Somewhat higher,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Graduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Geology,Graduate student,,Very involved,A great deal,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,NA/Not covered at this workshop,Neither high nor low,Somewhat higher,,,,,Neutral,Agree,Neutral,Agree,Always,Always,Always,Most of the time,yes
"I have just completed the workshop, and am taking it at the event",yes,envisci,Graduate student,,Very involved,Some practical knowledge,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Low,Somewhat higher,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,"fungal biology, ecology, population genetics",Graduate student,,Enthusiastically involved,A great deal,Agree,Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Agree,NA/Not covered at this workshop,Low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Social Science,Graduate student,,Enthusiastically involved,Some practical knowledge,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,Strongly Agree,High,Higher,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,yes
"I have just completed the workshop, and am taking it at the event",yes,Engineering,Undergraduate student,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Neither high nor low,Much higher,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Soil Science,Graduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,Neutral,Low,Much higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,NA/Not covered at this workshop,Low,Higher,Strongly agree,Strongly agree,,Agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Food Science,Post-doc,,Very involved,A great deal,Strongly Disagree,Strongly disagree,NA/Not covered at this workshop,Strongly Disagree,NA/Not covered at this workshop,Strongly disagree,Strongly disagree,Strongly disagree,Low,Somewhat higher,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Usually,Usually,Most of the time,Most of the time,yes
"I have just completed the workshop, and am taking it at the event",yes,Plant Pathology,Graduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Agree,Strongly Agree,Very low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Molecular Ecology,Graduate student,,Somewhat involved,A great deal,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Neither high nor low,Somewhat higher,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Most of the time,Usually,Most of the time,Most of the time,no
"I have recently completed the workshop, and am taking it after I left the event",yes,,Staff,,Very involved,Some practical knowledge,Neutral,Neutral,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Low,Somewhat higher,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Most of the time,Most of the time,Most of the time,Most of the time,yes
"I have recently completed the workshop, and am taking it after I left the event",no,Library,Faculty,,Somewhat involved,Some practical knowledge,Agree,Agree,Strongly Agree��,NA/Not covered at this workshop,Strongly Agree��,NA/Not covered at this workshop,,,Neither high nor low,Somewhat higher,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Always,Always,Most of the time,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Biological Chemistry,Post-doc,,Very involved,A great deal,Agree,Strongly Agree,Strongly Agree��,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Strongly Agree,Agree,Very low,Higher,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Always,Most of the time,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,,Faculty,,Very involved,Some practical knowledge,Neutral,Neutral,Neutral,NA/Not covered at this workshop,Disagree,NA/Not covered at this workshop,Disagree,Strongly disagree,Low,Somewhat higher,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,,Always,Most of the time,,yes
"I have just completed the workshop, and am taking it at the event",yes,,Staff,,Very involved,Some practical knowledge,Agree,Strongly Agree,Strongly Agree��,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,Agree,Neutral,High,Higher,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Most of the time,Always,Most of the time,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Biology,Graduate student,,Very involved,A great deal,,,,,,,,,,,,,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Molecular Biology,Graduate student,,Enthusiastically involved,A great deal,Agree,Agree,Agree,NA/Not covered at this workshop,Strongly Agree��,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,no
"I have just completed the workshop, and am taking it at the event",yes,Immunology,Post-doc,,Very involved,Some practical knowledge,,,,,,,,,Very low,About the same,Agree,,,,Strongly disagree,Agree,Agree,Neutral,Usually,Most of the time,Most of the time,Most of the time,yes
"I have just completed the workshop, and am taking it at the event",yes,Immunology,Graduate student,,Very involved,Some practical knowledge,,,,,,,,,,,,,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Immunology,Faculty,,Enthusiastically involved,A great deal,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,High,Much higher,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Always,Most of the time,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Immunology,Graduate student,,Enthusiastically involved,A great deal,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Very low,Higher,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Immunology,Graduate student,,Enthusiastically involved,A great deal,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Very low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Genetics,Graduate student,,Enthusiastically involved,A great deal,Strongly Disagree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly disagree,Very low,Much higher,Strongly disagree,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Immunology,Graduate student,,Very involved,A great deal,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Very low,Higher,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,,,,,yes
"I have just completed the workshop, and am taking it at the event",yes,Immunology,Graduate student,,Enthusiastically involved,A great deal,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Very low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,genetics/immunology,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Low,Higher,Strongly agree,,,,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Infectious Diseases,Faculty,,Very involved,A great deal,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,Very low,Somewhat higher,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Most of the time,Always,Most of the time,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Immunology,Graduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,Strongly Agree��,Strongly Agree,Strongly Agree��,Strongly Agree,Strongly Agree,Strongly Agree,Very low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Immunology,Graduate student,,Enthusiastically involved,A great deal,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Always,Most of the time,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Microbiology,Graduate student,,Somewhat involved,Some practical knowledge,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Low,Somewhat higher,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Most of the time,Most of the time,Most of the time,Most of the time,yes
"I have just completed the workshop, and am taking it at the event",yes,physiology and immunology,Faculty,,Very involved,Some practical knowledge,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very low,Somewhat higher,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Microbiology,Post-doc,,Enthusiastically involved,A great deal,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Very low,Higher,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Always,Most of the time,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Immunology,Graduate student,,Very involved,A great deal,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Neither high nor low,Much higher,Strongly agree,Neutral,Neutral,Neutral,Agree,Strongly agree,,Strongly agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Microbiology,Post-doc,,Very involved,A great deal,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,NA/Not covered at this workshop,High,Higher,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Most of the time,Always,Most of the time,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Immunology and Nutrition,Graduate student,,Very involved,Some practical knowledge,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,Neither high nor low,About the same,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Neutral,Most of the time,Always,Most of the time,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,,,,,,,,,,Disagree,Neutral,,,Very low,Much higher,,,,,,,,,,,,,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Bioengineering (protein engineering),Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,High,Much higher,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Neurobiology,Post-doc,,Very involved,Some practical knowledge,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Low,Somewhat higher,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Immunology,Graduate student,,Very involved,A great deal,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Neutral,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Most of the time,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Bioinformatics,Graduate student,,Very involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Bioengineering,Graduate student,,Very involved,Some practical knowledge,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Neutral,High,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Life sciences: neurodegeneration,Graduate student,,Very involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Very low,Somewhat higher,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,stem cell biology,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Most of the time,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Neuroscience,Graduate student,,Somewhat involved,A great deal,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Neither high nor low,Somewhat higher,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Most of the time,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Immunology,Graduate student,,Enthusiastically involved,A great deal,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Most of the time,Most of the time,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Neuroscience,,,Enthusiastically involved,A great deal,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Cancer Biology,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Agree,Strongly Agree,Low,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Biology,Graduate student,,Very involved,Some practical knowledge,Strongly Agree,Strongly Agree,Strongly Agree��,Strongly Agree,Strongly Agree��,Strongly Agree,Strongly Agree,Strongly Agree,Neither high nor low,Somewhat higher,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbiology,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,Neutral,Neutral,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Neutral,Strongly Agree,Low,Much higher,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Biology,Graduate student,,Enthusiastically involved,Some practical knowledge,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Neutral,Agree,Always,Always,Always,Always,yes
